Company,Product_Type,Eco friendly,Country,Production_Year,Greenhouse_Gas_Emissions,Pollutants_Emitted,Water_Consumption,Energy_Consumption,Waste_Generation,Sales_Revenue
Forever 21,Recycled_Poly,Moderate,Mexico,2021,3126,17,5398,1078,338,516313
Adidas,Wool,Most,Finland,2019,1385,9,3989,741,144,409544
Adidas,Cotton,Least,Indonesia,2019,3654,17,17,1079,514,521361
Urban Outfitters,Wool,Most,Norway,2019,2293,12,3759,606,239,446653
Zara,Linen,Most,Sweden,2019,1669,10,4177,1022,238,456899
Zara,Wool,Most,Norway,2019,1928,11,4528,1012,308,405229
Nike,Wool,Most,Norway,2022,1901,9,3651,621,193,488277
Adidas,Viscose,Moderate,France,2020,3149,12,4962,1021,357,517870
Urban Outfitters,Viscose,Moderate,Mexico,2022,3013,16,4837,1129,308,496020
Zara,Microfiber,Moderate,Spain,2018,3043,16,4940,1208,406,482362
Forever 21,Organic_Cotton,Most,Denmark,2018,2482,12,3766,734,254,442469
Urban Outfitters,Synthetic_Blend,Least,Brazil,2022,4374,18,6300,1061,554,499637
Adidas,Viscose,Moderate,Spain,2022,2653,15,5017,1021,292,473241
Adidas,Microfiber,Moderate,United States,2022,2398,13,5168,1016,368,450729
Forever 21,Linen,Most,Denmark,2019,1717,10,3748,904,244,475109
Nike,Nylon,Least,Indonesia,2019,3335,19,16,937,561,485692
Zara,Cotton,Least,India,2021,4590,19,6300,1213,623,482756
Urban Outfitters,Linen,Most,Norway,2021,2201,11,3601,853,253,414129
Urban Outfitters,Cotton,Least,Brazil,2019,3878,20,6159,1074,517,528055
Adidas,Linen,Most,Sweden,2022,1879,9,4009,686,133,495013
Forever 21,Linen,Most,Sweden,2019,1752,12,3980,993,193,447125
Nike,Tencel,Most,Finland,2021,1534,10,3616,617,153,445226
Adidas,Synthetic_Blend,Least,India,2020,3270,17,19,941,545,488349
Adidas,Cotton,Least,Bangladesh,2018,4305,17,20,1045,567,526278
Zara,Cotton,Least,Brazil,2021,4662,19,7047,1144,566,552469
Urban Outfitters,Polyester,Least,Brazil,2020,4054,20,6905,1155,457,535434
Forever 21,Cotton,Least,China,2021,4558,23,6685,1190,610,530124
Nike,Wool,Most,Sweden,2021,1640,9,3679,617,158,455822
Zara,Microfiber,Moderate,Mexico,2022,3381,15,5384,1240,387,525349
Adidas,Polyester,Least,Indonesia,2020,3547,20,16,1017,445,531239
Urban Outfitters,Synthetic_Blend,Least,Brazil,2021,3673,22,6847,1081,578,495094
Zara,Organic_Cotton,Most,Sweden,2019,2402,12,4211,896,302,496496
Zara,Viscose,Moderate,France,2019,3125,15,5127,1069,457,468847
Adidas,Linen,Most,Norway,2020,1993,8,3490,881,202,403902
Adidas,Synthetic_Blend,Least,India,2018,3486,16,18,949,515,515934
Adidas,Nylon,Least,Brazil,2022,3510,19,17,1034,497,551129
Forever 21,Nylon,Least,Indonesia,2022,4677,22,6310,1191,511,540335
Zara,Tencel,Most,Finland,2020,1541,10,4593,929,244,490003
Nike,Wool,Most,Switzerland,2021,1382,8,3576,642,202,465672
Nike,Viscose,Moderate,Spain,2022,2790,15,4488,1081,320,511521
Nike,Cotton,Least,Bangladesh,2018,3520,20,17,1015,503,535875
Forever 21,Wool,Most,Norway,2021,2016,12,4299,851,261,410599
Adidas,Organic_Cotton,Most,Switzerland,2020,1395,8,3657,675,193,456329
Forever 21,Polyester,Least,India,2022,4044,20,7090,1103,487,544561
Forever 21,Cotton,Least,Bangladesh,2021,4232,23,6102,1189,566,554883
Adidas,Microfiber,Moderate,France,2019,2929,14,4372,1004,261,455320
Urban Outfitters,Tencel,Most,Finland,2020,2084,10,3654,627,287,420511
Zara,Cotton,Least,Indonesia,2020,3707,22,6996,1222,529,542347
Nike,Viscose,Moderate,Italy,2022,2748,14,4574,963,397,488482
Nike,Recycled_Poly,Moderate,France,2020,2872,12,4591,1054,361,457269
Nike,Recycled_Poly,Moderate,Mexico,2021,2251,13,4683,964,321,503311
Urban Outfitters,Organic_Cotton,Most,Sweden,2019,1843,12,4433,889,240,437427
Urban Outfitters,Linen,Most,Finland,2018,2083,8,3941,649,169,459235
Adidas,Nylon,Least,India,2022,3502,16,20,1037,570,554843
Urban Outfitters,Synthetic_Blend,Least,Brazil,2022,3788,21,6759,1006,540,540676
Zara,Cotton,Least,Bangladesh,2019,4935,20,6495,1201,594,506420
Zara,Recycled_Poly,Moderate,Mexico,2018,3276,14,4891,1099,347,471174
Zara,Cotton,Least,Brazil,2020,5375,21,6507,1187,543,529900
Forever 21,Wool,Most,Denmark,2019,1521,12,3711,802,298,430304
Nike,Recycled_Poly,Moderate,Italy,2018,2527,14,4987,970,264,446813
Nike,Linen,Most,Sweden,2018,1675,9,3690,809,216,464018
Forever 21,Linen,Most,Denmark,2021,2432,11,4213,936,183,450460
Forever 21,Synthetic_Blend,Least,Indonesia,2018,4945,20,6220,1176,567,554664
Zara,Wool,Most,Sweden,2020,2309,9,4189,948,284,499374
Nike,Recycled_Poly,Moderate,France,2022,2905,13,4846,1082,340,455744
Urban Outfitters,Organic_Cotton,Most,Sweden,2020,1820,10,4045,784,259,418632
Nike,Wool,Most,Denmark,2021,1677,8,3596,883,154,434450
Zara,Microfiber,Moderate,Spain,2022,2713,14,4811,1204,409,502951
Nike,Viscose,Moderate,France,2021,2722,15,4512,1048,363,440779
Nike,Linen,Most,Sweden,2021,1477,9,3779,767,200,466035
Adidas,Synthetic_Blend,Least,Bangladesh,2022,3287,17,16,953,559,507388
Zara,Wool,Most,Denmark,2019,2365,11,3620,904,251,475595
Urban Outfitters,Linen,Most,Switzerland,2019,2391,9,4077,952,192,467923
Adidas,Nylon,Least,China,2020,3470,18,19,1021,536,523929
Nike,Synthetic_Blend,Least,India,2022,4354,20,18,981,407,541580
Nike,Tencel,Most,Denmark,2022,1780,9,3781,877,161,461695
Forever 21,Microfiber,Moderate,Mexico,2019,2782,17,5189,1141,326,534284
Urban Outfitters,Wool,Most,Norway,2019,1680,8,3592,668,165,479970
Zara,Linen,Most,Norway,2018,2310,11,4583,845,307,459644
Adidas,Nylon,Least,Brazil,2021,4338,20,19,1042,553,534133
Zara,Organic_Cotton,Most,Finland,2022,1586,9,3693,939,255,420320
Forever 21,Polyester,Least,China,2022,5234,19,6591,1233,525,545579
Zara,Microfiber,Moderate,United States,2018,3238,14,5040,1153,430,477047
Zara,Organic_Cotton,Most,Finland,2018,2268,9,4496,971,208,412723
Forever 21,Microfiber,Moderate,Spain,2022,3010,14,5664,1072,345,529270
Forever 21,Wool,Most,Switzerland,2019,2002,12,4329,1047,287,408104
Urban Outfitters,Synthetic_Blend,Least,Bangladesh,2018,3694,21,5834,1124,476,545278
Urban Outfitters,Organic_Cotton,Most,Denmark,2022,1856,11,4045,923,191,405392
Adidas,Microfiber,Moderate,Mexico,2021,2603,14,4922,1067,265,490476
Nike,Synthetic_Blend,Least,India,2018,3503,16,17,1055,568,517041
Forever 21,Linen,Most,Norway,2020,1712,9,3894,948,205,401070
Nike,Wool,Most,Denmark,2019,1398,10,3448,865,198,440212
Nike,Recycled_Poly,Moderate,France,2018,2210,13,4903,914,304,506509
Adidas,Tencel,Most,Norway,2020,1359,9,3788,793,135,413456
Nike,Organic_Cotton,Most,Switzerland,2018,1696,10,3312,746,156,402660
Urban Outfitters,Tencel,Most,Norway,2020,2386,12,3923,656,233,445877
Urban Outfitters,Organic_Cotton,Most,Sweden,2020,2326,9,3508,984,269,410954
Zara,Viscose,Moderate,Italy,2022,2920,17,4841,1201,324,455564
Nike,Wool,Most,Norway,2021,1577,10,3600,637,230,404782
Zara,Nylon,Least,India,2019,4185,19,6560,1250,503,536089
Urban Outfitters,Viscose,Moderate,Spain,2019,2904,14,5310,1125,328,529179
Nike,Polyester,Least,India,2020,3904,19,19,1093,539,559909
Nike,Tencel,Most,Finland,2020,1873,9,3314,748,161,401947
Zara,Wool,Most,Norway,2019,1655,9,3602,810,241,460242
Forever 21,Cotton,Least,India,2018,4044,23,6934,1287,598,482551
Forever 21,Polyester,Least,Brazil,2020,4951,19,6855,1246,566,544749
Zara,Recycled_Poly,Moderate,United States,2018,2975,16,4815,1057,326,514426
Nike,Polyester,Least,Brazil,2019,3885,17,17,1012,552,483327
Urban Outfitters,Organic_Cotton,Most,Sweden,2022,1822,12,4041,713,291,463292
Forever 21,Synthetic_Blend,Least,Brazil,2021,3722,22,6940,1213,483,551318
Zara,Linen,Most,Denmark,2021,1937,12,4222,805,292,446258
Adidas,Synthetic_Blend,Least,China,2022,4218,18,19,972,470,553010
Forever 21,Viscose,Moderate,Italy,2021,3105,16,5247,1137,440,521470
Adidas,Microfiber,Moderate,United States,2021,3149,15,4796,1068,313,532271
Zara,Organic_Cotton,Most,Norway,2021,1576,10,4579,1006,219,452758
Zara,Nylon,Least,India,2018,5103,19,6175,1250,522,522802
Adidas,Tencel,Most,Norway,2018,1819,10,3369,891,230,424618
Zara,Synthetic_Blend,Least,Indonesia,2022,4860,20,6823,1204,535,551345
Adidas,Wool,Most,Norway,2021,1735,9,3629,866,173,432640
Nike,Viscose,Moderate,Mexico,2019,2829,16,4570,987,341,511223
Zara,Recycled_Poly,Moderate,Spain,2020,3242,16,5259,1062,369,539534
Forever 21,Wool,Most,Switzerland,2021,1727,10,4304,879,228,492602
Forever 21,Cotton,Least,Bangladesh,2021,4062,22,6361,1115,559,524257
Nike,Viscose,Moderate,Spain,2022,2233,13,4361,1060,369,480874
Zara,Wool,Most,Switzerland,2018,2264,12,4100,923,188,423027
Urban Outfitters,Microfiber,Moderate,United States,2020,3464,16,5482,1182,423,449394
Nike,Wool,Most,Denmark,2022,1446,8,3716,804,205,436900
Urban Outfitters,Viscose,Moderate,Spain,2018,3350,17,4824,1189,425,537156
Nike,Synthetic_Blend,Least,Indonesia,2020,4440,18,18,969,508,523479
Adidas,Microfiber,Moderate,Mexico,2022,2780,13,4692,911,260,481605
Urban Outfitters,Polyester,Least,China,2021,4586,18,6623,1143,548,543102
Urban Outfitters,Viscose,Moderate,Italy,2021,3321,14,5364,1101,447,503214
Adidas,Viscose,Moderate,Italy,2021,2753,12,5289,1055,363,509636
Forever 21,Microfiber,Moderate,United States,2022,3437,16,5182,1154,411,462718
Adidas,Organic_Cotton,Most,Sweden,2019,1801,10,3320,731,205,425518
Adidas,Organic_Cotton,Most,Finland,2020,1722,10,3498,679,226,486730
Adidas,Viscose,Moderate,Italy,2019,2821,13,5118,974,334,443761
Urban Outfitters,Viscose,Moderate,Mexico,2022,2683,13,4728,1126,324,474144
Urban Outfitters,Nylon,Least,Bangladesh,2021,4499,22,6126,1191,559,548402
Nike,Tencel,Most,Norway,2018,1761,10,3693,889,172,490323
Nike,Nylon,Least,Bangladesh,2018,3606,17,17,947,450,490670
Urban Outfitters,Viscose,Moderate,Italy,2019,3016,14,5475,1102,418,528660
Zara,Organic_Cotton,Most,Switzerland,2018,2495,11,3970,751,211,426614
Urban Outfitters,Tencel,Most,Denmark,2022,1917,11,4343,729,221,463275
Nike,Wool,Most,Denmark,2022,1862,10,3884,836,182,473565
Urban Outfitters,Synthetic_Blend,Least,China,2020,4215,22,6273,1061,582,540855
Nike,Synthetic_Blend,Least,Bangladesh,2021,3417,17,18,1013,403,540429
Nike,Recycled_Poly,Moderate,Mexico,2022,2656,16,5235,943,406,463065
Nike,Recycled_Poly,Moderate,United States,2019,2318,14,5072,905,334,448969
Zara,Synthetic_Blend,Least,Brazil,2018,3971,20,6933,1294,601,540425
Adidas,Viscose,Moderate,Italy,2021,2460,13,4730,1072,416,442305
Adidas,Linen,Most,Denmark,2018,1432,9,3499,665,151,475194
Forever 21,Synthetic_Blend,Least,Indonesia,2021,4484,22,5730,1257,564,518181
Forever 21,Linen,Most,Finland,2021,1709,11,4035,832,189,411679
Adidas,Viscose,Moderate,Italy,2019,3014,13,4590,920,407,490180
Zara,Tencel,Most,Denmark,2018,2281,10,4219,976,188,481684
Forever 21,Recycled_Poly,Moderate,Italy,2021,3511,16,5600,1067,352,520837
Urban Outfitters,Polyester,Least,Brazil,2021,3684,19,6089,1081,532,542630
Adidas,Polyester,Least,China,2020,3574,16,16,959,428,507857
Nike,Linen,Most,Denmark,2019,1658,8,3923,795,181,427686
Nike,Cotton,Least,Indonesia,2019,3704,16,19,1097,489,530389
Zara,Polyester,Least,Indonesia,2019,4455,22,7038,1229,535,504231
Forever 21,Polyester,Least,India,2022,4760,20,6542,1102,568,548296
Nike,Cotton,Least,India,2022,3439,17,17,972,563,481439
Nike,Nylon,Least,India,2022,4367,17,19,1092,462,540036
Zara,Wool,Most,Switzerland,2021,2034,10,4646,989,315,405945
Nike,Cotton,Least,Brazil,2018,3434,17,20,981,430,544895
Adidas,Wool,Most,Denmark,2021,1591,10,3439,816,144,415515
Zara,Synthetic_Blend,Least,India,2019,3819,22,6937,1299,562,492340
Forever 21,Microfiber,Moderate,France,2022,3178,17,5024,1205,330,457679
Nike,Organic_Cotton,Most,Switzerland,2018,1316,10,3442,604,224,449518
Urban Outfitters,Microfiber,Moderate,Mexico,2020,3466,14,5431,1181,367,485764
Nike,Nylon,Least,China,2021,3978,16,16,963,550,522650
Nike,Nylon,Least,Bangladesh,2018,3407,18,17,1017,565,527784
Adidas,Linen,Most,Norway,2020,1918,9,3937,653,159,410478
Nike,Wool,Most,Denmark,2018,1659,9,3946,787,147,493822
Adidas,Polyester,Least,Brazil,2019,3205,16,18,1095,439,499458
Nike,Organic_Cotton,Most,Sweden,2021,1829,9,3432,778,192,481966
Urban Outfitters,Nylon,Least,China,2022,4078,21,5999,1064,514,523852
Nike,Cotton,Least,Indonesia,2018,3770,20,18,1067,480,550842
Zara,Synthetic_Blend,Least,Bangladesh,2020,3826,21,7026,1197,611,527877
Adidas,Nylon,Least,Bangladesh,2019,4173,16,18,1042,535,544111
Nike,Wool,Most,Finland,2020,1913,10,3496,681,156,416062
Adidas,Organic_Cotton,Most,Norway,2022,1308,10,3324,622,161,406632
Zara,Organic_Cotton,Most,Norway,2022,1634,12,4329,722,216,436044
Zara,Nylon,Least,India,2020,3614,22,5933,1220,476,551176
Forever 21,Nylon,Least,China,2019,4769,21,5987,1155,504,496476
Nike,Recycled_Poly,Moderate,France,2022,2841,16,4671,1093,313,450805
Forever 21,Recycled_Poly,Moderate,Mexico,2020,2996,15,5378,1108,461,517787
Forever 21,Synthetic_Blend,Least,Bangladesh,2018,5327,19,5979,1161,493,518313
Nike,Viscose,Moderate,France,2022,2295,13,4808,991,291,452077
Adidas,Recycled_Poly,Moderate,Spain,2022,3053,16,4332,942,335,441350
Forever 21,Synthetic_Blend,Least,India,2019,5209,23,7052,1126,508,512102
Nike,Linen,Most,Switzerland,2019,1663,9,3560,733,227,409417
Adidas,Linen,Most,Norway,2021,1335,8,3977,668,197,411503
Nike,Organic_Cotton,Most,Switzerland,2020,1778,9,3981,883,211,484596
Zara,Organic_Cotton,Most,Sweden,2019,2175,10,3744,856,293,496389
Zara,Polyester,Least,Bangladesh,2020,4145,20,5790,1286,582,518946
Nike,Cotton,Least,India,2019,4497,20,18,1007,422,538494
Zara,Nylon,Least,China,2021,4977,20,6108,1233,479,518835
Nike,Polyester,Least,Indonesia,2018,3904,18,20,980,428,486740
Nike,Tencel,Most,Sweden,2018,1842,8,3972,807,193,492775
Urban Outfitters,Organic_Cotton,Most,Finland,2018,1785,9,3695,898,190,420679
Forever 21,Synthetic_Blend,Least,Brazil,2018,4543,22,5702,1243,521,499068
Forever 21,Wool,Most,Sweden,2022,2107,12,4127,925,194,411025
Nike,Tencel,Most,Switzerland,2020,1369,10,3884,750,165,493678
Zara,Polyester,Least,Bangladesh,2018,4821,19,6007,1233,582,530306
Adidas,Viscose,Moderate,Mexico,2022,3027,12,4770,918,389,509143
Urban Outfitters,Viscose,Moderate,Italy,2020,3341,13,5209,1068,325,513281
Forever 21,Synthetic_Blend,Least,India,2021,3774,20,6165,1112,505,538300
Forever 21,Synthetic_Blend,Least,India,2018,5289,21,5732,1197,627,517236
Forever 21,Cotton,Least,Indonesia,2018,4173,20,7044,1190,592,517430
Urban Outfitters,Recycled_Poly,Moderate,Mexico,2019,3061,14,4510,1127,335,475549
Urban Outfitters,Recycled_Poly,Moderate,Spain,2021,3037,17,4770,1010,439,518163
Zara,Recycled_Poly,Moderate,Italy,2022,2767,14,5276,1101,433,483207
Nike,Recycled_Poly,Moderate,Spain,2021,2942,13,4484,1018,299,514951
Nike,Viscose,Moderate,Mexico,2021,2501,16,4790,997,265,442251
Nike,Synthetic_Blend,Least,Bangladesh,2019,3834,18,17,1001,456,524060
Nike,Nylon,Least,China,2022,4394,19,17,924,413,552756
Nike,Polyester,Least,India,2020,4498,20,16,965,469,502034
Urban Outfitters,Cotton,Least,Indonesia,2019,4992,19,5695,1109,594,559084
Adidas,Cotton,Least,India,2018,3409,16,20,955,565,515484
Urban Outfitters,Nylon,Least,Bangladesh,2019,3518,22,6327,1012,509,553413
Adidas,Synthetic_Blend,Least,India,2020,4464,16,17,1078,494,552850
Forever 21,Cotton,Least,Brazil,2022,3885,21,6798,1201,514,508968
Urban Outfitters,Recycled_Poly,Moderate,Spain,2020,2878,15,5371,1017,430,503462
Nike,Synthetic_Blend,Least,Indonesia,2021,3499,16,16,976,532,553206
Adidas,Nylon,Least,Indonesia,2020,3814,16,17,1068,552,490646
Zara,Organic_Cotton,Most,Norway,2020,2358,12,4379,1005,262,413463
Forever 21,Organic_Cotton,Most,Switzerland,2018,1872,12,4416,722,280,457569
Adidas,Polyester,Least,China,2020,4356,16,19,1061,566,543003
Nike,Viscose,Moderate,Mexico,2022,2594,13,4894,1094,323,477367
Zara,Wool,Most,Denmark,2018,1840,12,3961,993,249,448149
Nike,Nylon,Least,Indonesia,2020,3534,19,16,929,481,482752
Urban Outfitters,Viscose,Moderate,United States,2020,2872,15,4812,1183,339,451050
Adidas,Wool,Most,Finland,2022,1323,8,3495,845,156,407797
Zara,Viscose,Moderate,United States,2018,3012,15,5503,1090,365,449225
Adidas,Organic_Cotton,Most,Switzerland,2022,1454,9,3305,796,229,450465
Urban Outfitters,Nylon,Least,India,2022,3958,21,6232,1152,552,507842
Urban Outfitters,Viscose,Moderate,United States,2018,2737,13,5498,1155,436,504927
Zara,Cotton,Least,Brazil,2022,5327,22,6526,1293,545,547019
Forever 21,Polyester,Least,China,2018,4610,22,5831,1164,565,559708
Urban Outfitters,Organic_Cotton,Most,Sweden,2021,1848,10,4322,812,173,491786
Forever 21,Recycled_Poly,Moderate,France,2020,3012,17,5373,1211,322,490237
Adidas,Polyester,Least,Brazil,2018,3585,16,16,1058,434,527976
Forever 21,Microfiber,Moderate,France,2019,3420,17,5494,1071,345,509008
Zara,Polyester,Least,India,2021,4900,21,5779,1286,598,550298
Zara,Linen,Most,Switzerland,2022,1794,11,4649,1048,246,418688
Adidas,Tencel,Most,Denmark,2019,1819,8,3968,690,185,471400
Nike,Viscose,Moderate,Mexico,2022,2412,16,4781,990,364,468959
Adidas,Microfiber,Moderate,Spain,2020,2445,13,5060,1033,374,441683
Urban Outfitters,Tencel,Most,Denmark,2021,2036,10,3905,636,258,411726
Forever 21,Organic_Cotton,Most,Switzerland,2021,2241,11,4070,946,312,443475
Urban Outfitters,Cotton,Least,Brazil,2019,4250,21,6162,1044,533,519599
Urban Outfitters,Microfiber,Moderate,Italy,2022,2765,16,5382,1088,369,520634
Zara,Linen,Most,Norway,2020,2138,11,4245,986,267,499076
Forever 21,Viscose,Moderate,France,2018,3442,17,5479,1068,336,471605
Forever 21,Cotton,Least,Brazil,2021,5169,23,7024,1115,630,503527
Zara,Linen,Most,Switzerland,2019,2028,10,3825,984,281,418814
Nike,Microfiber,Moderate,Italy,2021,2306,14,5216,981,284,498940
Urban Outfitters,Nylon,Least,Indonesia,2021,4974,21,6576,1182,473,523190
Forever 21,Cotton,Least,Bangladesh,2019,4299,23,6122,1160,567,555256
Nike,Recycled_Poly,Moderate,Mexico,2019,3154,12,4475,956,281,481744
Forever 21,Wool,Most,Norway,2020,2275,11,4679,884,242,458746
Urban Outfitters,Recycled_Poly,Moderate,France,2020,2882,15,4864,1010,373,482618
Forever 21,Wool,Most,Norway,2018,2263,9,4018,700,261,404019
Urban Outfitters,Recycled_Poly,Moderate,Mexico,2019,2747,16,4898,1186,370,468919
Nike,Polyester,Least,Indonesia,2022,3211,17,17,1088,503,546048
Urban Outfitters,Polyester,Least,Bangladesh,2018,4014,21,6158,1190,498,518195
Urban Outfitters,Recycled_Poly,Moderate,Italy,2018,2943,17,5468,1047,325,467802
Forever 21,Synthetic_Blend,Least,Indonesia,2020,3615,19,6800,1169,500,510996
Forever 21,Cotton,Least,Indonesia,2019,4324,23,6404,1120,576,520308
Zara,Microfiber,Moderate,Mexico,2021,3581,14,5641,1109,354,461587
Zara,Linen,Most,Sweden,2021,1654,12,4108,881,294,416470
Adidas,Viscose,Moderate,Italy,2021,2688,15,5053,927,261,470559
Forever 21,Viscose,Moderate,Mexico,2018,2908,14,5470,1153,334,532626
Urban Outfitters,Nylon,Least,Bangladesh,2020,3692,23,6901,1042,485,529426
Nike,Microfiber,Moderate,Spain,2019,2342,12,4644,991,285,507797
Urban Outfitters,Cotton,Least,Bangladesh,2018,4852,19,6714,1097,517,517395
Nike,Linen,Most,Finland,2021,1529,10,3975,821,154,444916
Forever 21,Wool,Most,Switzerland,2021,2253,11,4118,972,188,472892
Zara,Synthetic_Blend,Least,Indonesia,2019,3929,19,5893,1238,617,537712
Zara,Nylon,Least,Brazil,2018,4605,20,6259,1104,487,486262
Adidas,Nylon,Least,Bangladesh,2019,3634,17,17,1069,437,492836
Zara,Polyester,Least,Bangladesh,2018,4200,20,6897,1102,624,552859
Urban Outfitters,Polyester,Least,Brazil,2020,4528,21,6630,1071,502,512956
Adidas,Viscose,Moderate,Italy,2022,2589,13,4381,971,410,516254
Nike,Linen,Most,Switzerland,2019,1652,8,3713,653,225,442539
Urban Outfitters,Nylon,Least,Brazil,2020,4602,23,6950,1188,565,522108
Forever 21,Cotton,Least,China,2021,4309,20,6139,1165,560,491521
Forever 21,Microfiber,Moderate,Spain,2020,3432,15,5601,1151,451,479743
Nike,Organic_Cotton,Most,Switzerland,2022,1493,8,4027,670,136,430906
Nike,Wool,Most,Switzerland,2021,1366,9,3649,837,154,480053
Zara,Viscose,Moderate,Mexico,2019,3186,15,5585,1234,335,510673
Urban Outfitters,Synthetic_Blend,Least,China,2018,4599,20,6614,1020,543,544075
Nike,Wool,Most,Switzerland,2019,1840,8,4083,636,159,452613
Forever 21,Microfiber,Moderate,Italy,2022,3328,16,4763,1150,340,511782
Forever 21,Wool,Most,Finland,2018,2073,12,4081,833,242,445804
Forever 21,Polyester,Least,Bangladesh,2022,4855,21,6761,1286,617,504516
Zara,Synthetic_Blend,Least,Indonesia,2019,4692,23,6185,1108,508,522617
Adidas,Linen,Most,Norway,2020,1788,8,4009,653,144,403003
Adidas,Organic_Cotton,Most,Denmark,2018,1542,8,3746,788,152,402753
Adidas,Organic_Cotton,Most,Finland,2020,1676,9,3731,866,177,433654
Nike,Linen,Most,Denmark,2018,1783,8,3657,827,164,421973
Zara,Polyester,Least,Brazil,2020,3888,20,6995,1103,597,516998
Adidas,Tencel,Most,Sweden,2019,1806,9,3348,605,146,442991
Adidas,Recycled_Poly,Moderate,Mexico,2021,2566,16,4576,903,388,505750
Forever 21,Microfiber,Moderate,United States,2021,2829,15,5330,1222,344,463431
Forever 21,Nylon,Least,Indonesia,2022,3632,21,5752,1130,499,546215
Nike,Wool,Most,Sweden,2021,1621,10,3981,856,133,463074
Nike,Organic_Cotton,Most,Switzerland,2021,1508,9,3875,780,136,497119
Adidas,Organic_Cotton,Most,Denmark,2018,1387,10,3367,705,143,423992
Forever 21,Microfiber,Moderate,Italy,2021,3248,15,5678,1099,464,535709
Forever 21,Wool,Most,Norway,2019,2375,9,4349,1025,204,484248
Urban Outfitters,Viscose,Moderate,France,2018,2995,13,4623,1133,438,445023
Forever 21,Tencel,Most,Denmark,2021,2449,11,4512,874,248,426827
Adidas,Nylon,Least,China,2022,4345,18,19,1023,495,555276
Forever 21,Synthetic_Blend,Least,Bangladesh,2019,3611,22,6612,1269,546,482509
Zara,Synthetic_Blend,Least,Indonesia,2022,4568,22,6760,1220,613,551003
Adidas,Microfiber,Moderate,Italy,2018,2708,16,5292,1100,275,445957
Nike,Nylon,Least,Bangladesh,2021,4319,19,16,976,437,550874
Forever 21,Wool,Most,Denmark,2021,2429,12,4604,747,288,412526
Forever 21,Organic_Cotton,Most,Denmark,2022,1744,10,4181,729,222,461769
Forever 21,Synthetic_Blend,Least,Brazil,2022,4566,23,6798,1206,524,512308
Nike,Wool,Most,Norway,2019,1704,8,3742,815,226,457055
